name,variable,Use_Case
aeknil 650mg tablet,use1,Treatment of Fever
a pin 50mg tablet,use1,Treatment of Rheumatoid arthritis
azzure 100mg injection,use1,Treatment of Myelodysplastic syndrome
asvik-cv 457 dry syrup,use1,Treatment of Bacterial infections
alersafe m 2.5mg/4mg tablet,use1,Treatment of Hay fever
allariz 180mg tablet,use1,Treatment of Allergic conditions
aniclav syrup,use1,Treatment of Bacterial infections
at-click 10 tablet,use1,Prevention of Heart attack
abtelmi 80 tablet,use1, Prevention of heart attack and stroke
apz 15mg tablet,use1, Mania
amoflox eye drop,use1,Treatment of Bacterial infections
amcetam 400mg capsule,use1, Stroke
atpram 10mg tablet,use1,Treatment of Anxiety disorder
astrotel 40mg tablet,use1, Prevention of heart attack and stroke
aarpen d 10mg/40mg tablet,use1,Treatment of Peptic ulcer disease
aculum-p oral suspension,use1, Pain relief
anneal p 800mg tablet,use1, Stroke
art-luton vaginal spray,use1, Female infertility
avogel o oral suspension,use1,Treatment of Heartburn
apriace 10mg tablet,use1, Prevention of heart attack and stroke
augmin-ds dry syrup,use1,Treatment of Bacterial infections
azenap 30mg tablet,use1, Alcohol withdrawal
aurich 200mg capsule,use1,Treatment of Female infertility
appatim eye drop,use1, Ocular hypertension
amedil 4mg tablet,use1,Treatment of Vomiting
aurlip 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
azearly 40 tablet,use1, Heart failure
alviroz 5 f tablet,use1,Prevention of Heart attack
azoprim tablet,use1,Treatment of Rheumatoid arthritis
altirab-d 10mg/20mg tablet,use1,Treatment of Peptic ulcer disease
angibrad 5mg tablet,use1,Treatment of Heart failure
albadin 7.5mg tablet,use1,Treatment of Heart failure
asuc 500mg suspension,use1,Treatment of Stomach ulcers
amvik 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
actipraz lxr 75mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
anzole 20 capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
akmol 250 oral suspension,use1,Treatment of Fever
alcid 20mg capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
alistor 10mg tablet,use1,Prevention of Heart attack
axovir 400mg tablet,use1, Chickenpox
acort 10mg injection,use1,Treatment of Osteoarthritis
arilan 10mg tablet,use1, Mania
avicus f 10mg/145mg tablet,use1,Prevention of Heart attack
avolide p ds syrup,use1,Treatment of Fever
acitak 300 mg tablet,use1, Gastroesophageal reflux disease (Acid reflux)
aripamat 10mg tablet,use1, Mania
autinea 2mg tablet md,use1,Treatment of Mania
allwin-l capsule sr,use1,Treatment of Intestinal ulcers
anxo 0.25mg tablet,use1,Treatment of Panic disorder
amab injection,use1, Rheumatoid arthritis
anupan d 10mg/40mg tablet,use1,Treatment of Peptic ulcer disease
azikast-l tablet,use1,Treatment of Hay fever
alexia-cl dry syrup,use1,Treatment of Bacterial infections
atortrue 80 tablet,use1,Prevention of Heart attack
amstat 20mg tablet,use1,Prevention of Heart attack
azactiv 100mg injection,use1,Treatment of Myelodysplastic syndrome
actozik-p syrup,use1, Pain relief
appri 4mg tablet,use1, Appetite stimulant
amit 75 mg tablet,use1, Neuropathic pain
a2b 20mg tablet,use1, Prevention of heart attack and stroke
azinorm-o 10mg/20mg capsule,use1,Treatment of Peptic ulcer disease
arpicin 30mg tablet,use1, Mania
azile 6mg tablet,use1,Treatment of Autoimmune conditions
alevo 12.5mg injection,use1,Treatment of Nausea
antazer pd 30mg/40mg tablet,use1,Treatment of Peptic ulcer disease
aerotak 10mg tablet,use1, Mania
ageliv 300mg tablet,use1,Treatment of Gallbladder stones
apletro 5mg tablet,use1,Treatment of Infertility due to anovulation
avilan 40mg tablet sr,use1,Treatment of Peripheral vascular disease
alerab-l capsule sr,use1,Treatment of Intestinal ulcers
acefate syrup,use1,Treatment of Stomach ulcers
amphotin lip 10mg injection,use1, Kala-azar
arepress 20mg tablet,use1,Prevention of Heart attack
apicord 10mg tablet,use1, Mania
atormex 10mg tablet,use1,Prevention of Heart attack
arifive 10mg tablet,use1, Mania
atostatin 20mg tablet,use1,Prevention of Heart attack
abimox ca suspension,use1,Treatment of Bacterial infections
angel oral suspension,use1, Stomach ulcers
aretop-dsr capsule,use1,Treatment of Peptic ulcer disease
atyline 25mg tablet,use1, Neuropathic pain
alphosin-b injection,use1, Kala-azar
aciser d 10mg/40mg tablet,use1,Treatment of Peptic ulcer disease
azlemon tablet,use1,Treatment of Hay fever
andelet lc 5mg/10mg tablet,use1,Treatment of Hay fever
atosta 20 tablet,use1,Prevention of Heart attack
amlotus 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
amit 50 mg tablet,use1, Neuropathic pain
atroset 10mg tablet,use1,Prevention of Heart attack
acidof 20mg capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
azupan dsr 30mg/40mg capsule,use1,Treatment of Peptic ulcer disease
apiz 20mg tablet,use1, Mania
antidol kid tablet,use1,Treatment of Fever
arol 10mg tablet,use1, Mania
ateez 0.25mg tablet,use1,Treatment of Panic disorder
abex-it 20mg/150mg tablet,use1, Peptic ulcer disease
acl-duo dry syrup,use1,Treatment of Bacterial infections
antigus d 30mg/40mg capsule,use1,Treatment of Peptic ulcer disease
atorvacare 40mg tablet,use1,Prevention of Heart attack
amline 2.5 tablet,use1,Prevention of Angina (heart-related chest pain)
aciright 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
amoxmed duo syrup,use1,Treatment of Bacterial infections
aelonac plus oral suspension,use1, Pain relief
amlocor 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
aelxim-of dry syrup,use1,Treatment of Bacterial infections
anxilam 0.25mg tablet,use1,Treatment of Panic disorder
amecort injection,use1, Rheumatic disorder
amlyzo es 30mg/40mg capsule,use1,Treatment of Functional dyspepsia
atop 50mg tablet,use1,Treatment of Angina (heart-related chest pain)
amopine 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
acidrim tablet,use1,Treatment of Peptic ulcer disease
arbo 20mg tablet,use1, Heart failure
amphocil 50mg injection,use1, Kala-azar
amlopil 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
atorace 10mg tablet,use1,Prevention of Heart attack
adopin 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
amsha 25mg tablet,use1, Neuropathic pain
atorrex 20 tablet,use1,Prevention of Heart attack
avoxime o dry syrup,use1,Treatment of Bacterial infections
axitaxel 100 injection,use1, Non-small cell lung cancer
acmerose 20 tablet,use1, Prevention of heart attack and stroke
alpranof 0.25mg tablet,use1,Treatment of Panic disorder
aimez d 10mg/20mg capsule,use1,Treatment of Peptic ulcer disease
alpa 650mg tablet,use1,Treatment of Fever
adgaba 300mg tablet,use1,Treatment of Epilepsy/Seizures
ariprax 0.5mg tablet,use1,Treatment of Panic disorder
angiguard 10mg tablet,use1,Prevention of Angina (heart-related chest pain)
anolet 5mg tablet,use1,Treatment of Infertility due to anovulation
angenim p suspension,use1,Treatment of Fever
angizem dp 60mg capsule,use1,Treatment of Angina (heart-related chest pain)
atvel 10mg tablet,use1,Prevention of Heart attack
aeropan 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
arisun 10mg tablet,use1, Mania
assipan 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
ace 650mg tablet,use1,Treatment of Fever
avumega oral suspension,use1, Stomach ulcers
alfexo 120 tablet,use1,Treatment of Allergic conditions
asticid gel,use1, Stomach ulcers
akucort 6mg tablet,use1,Treatment of Autoimmune conditions
atroplen 40mg tablet,use1,Prevention of Heart attack
aripicon 5 tablet,use1, Mania
axicralf o 1000mg/20mg suspension,use1,Treatment of Heartburn
aripicad 15mg tablet,use1, Mania
aleez 0.5mg tablet,use1,Treatment of Panic disorder
aplaz d 0.5mg tablet,use1,Treatment of Epilepsy/Seizures
acilanz 30mg capsule,use1,Treatment of Peptic ulcer disease
anze 5mg tablet,use1,Treatment of Prevention of heart attack and stroke
acicul syrup,use1, Indigestion
axypent 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
aceprole d 10mg/20mg capsule,use1,Treatment of Peptic ulcer disease
acemol p 50mg/125mg suspension,use1, Pain relief
astrapan-dsr 30mg/40mg tablet,use1,Treatment of Peptic ulcer disease
atrocard 10mg tablet,use1,Prevention of Heart attack
antacian oral gel,use1, Stomach ulcers
arize 30mg tablet,use1, Mania
atovis 10mg tablet,use1,Prevention of Heart attack
avotor 10mg tablet,use1,Prevention of Heart attack
anzatric 2.5mg tablet,use1,Treatment of Mania
acaldo capsule,use1,Treatment of Varicose veins
atek d 10mg/40mg tablet,use1,Treatment of Peptic ulcer disease
amezole 20mg capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
arifine 30mg tablet,use1, Mania
aldom 1mg/ml drop,use1,Treatment of Indigestion
agpanta plus 30mg/40mg capsule,use1,Treatment of Peptic ulcer disease
accrivir 200mg tablet,use1, Chickenpox
aptan syrup,use1, Appetite stimulant
aldepraz 40mg injection,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
avopan 40mg injection,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
abcid d 10mg/20mg capsule,use1,Treatment of Peptic ulcer disease
alopine 2.5mg tablet,use1,Treatment of Mania
avmol 650 tablet,use1,Treatment of Fever
amtron 4mg tablet,use1,Treatment of Vomiting
azafab 100mg injection,use1,Treatment of Myelodysplastic syndrome
ateloc 50mg tablet,use1,Treatment of Angina (heart-related chest pain)
atorvil 40mg tablet,use1,Prevention of Heart attack
allegix 180mg tablet,use1,Treatment of Allergic conditions
atorvaliz 10mg tablet,use1,Prevention of Heart attack
a kort 40mg injection,use1,Treatment of Osteoarthritis
atrapar eye drop,use1,Treatment of Uveitis
alirab 20mg tablet,use1,Treatment of Peptic ulcer disease
adival 250mg tablet er,use1,Treatment of Bipolar disorder
amlosun 10 tablet,use1,Prevention of Angina (heart-related chest pain)
anilide suspension,use1,Treatment of Fever
abicet m syrup,use1,Treatment of Hay fever
august dry syrup,use1,Treatment of Bacterial infections
adrizen-m tablet,use1,Treatment of Hay fever
asvsartan 40mg tablet,use1, Prevention of heart attack and stroke
armez d 10mg/20mg capsule,use1,Treatment of Peptic ulcer disease
atozit 10mg tablet,use1,Prevention of Heart attack
acloled p syrup,use1, Pain relief
alkalee liquid ice cream,use1,Treatment of Kidney stone
abetanate s ointment,use1,Treatment of Psoriasis
atoxy 25mg tablet,use1,Treatment of Skin conditions with inflammation & itching
aimfokast l syrup,use1,Treatment of Hay fever
anxeron 0.25mg tablet,use1,Treatment of Panic disorder
aquatel 20mg tablet,use1, Prevention of heart attack and stroke
alvastin 10mg tablet,use1, Prevention of heart attack and stroke
atofast 10mg tablet,use1,Prevention of Heart attack
amlopride 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
amic t 500mg/250mg tablet,use1,Treatment of Menstrual pain
alcyone 20mg tablet,use1,Treatment of Peptic ulcer disease
aripraz 20mg tablet,use1, Mania
aromoxi eye ointment,use1,Treatment of Bacterial eye infections
alox-cv dry syrup,use1,Treatment of Bacterial infections
axylid 100mg tablet md,use1,Treatment of Fever
atorcaid-f tablet,use1,Prevention of Heart attack
azilday tablet,use1, Heart failure
aria 30mg tablet,use1, Mania
auronim 100mg tablet,use1,Treatment of Fever
apanta 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
alrif 0.25mg tablet,use1,Treatment of Panic disorder
axitel 40mg tablet,use1, Prevention of heart attack and stroke
atrocard 20mg tablet,use1,Prevention of Heart attack
amlozone 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
atorsis-f tablet,use1,Prevention of Heart attack
actin 2mg syrup,use1, Appetite stimulant
amox 250mg tablet,use1, Infectious diarrhea
allorid m 5mg/10mg tablet,use1,Treatment of Hay fever
allymac 5mg tablet,use1,Treatment of Recurrent miscarriage
amalgard 20mg injection,use1,Treatment of Peptic ulcer disease
alfexo 120mg tablet,use1,Treatment of Allergic conditions
amypres 50mg tablet,use1, Neuropathic pain
aerodol 4mg injection,use1, Vomiting
arbetol 200mg tablet,use1, Trigeminal neuralgia
avisera forte 15mg tablet,use1, Swelling
acmerose 5mg tablet,use1, Prevention of heart attack and stroke
avtop d 30mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
alfadox 100mg capsule,use1,Treatment of Acne
acceclomax plus syrup,use1, Pain relief
adzo-ap kid oral suspension,use1, Pain relief
amonit plus ds dry oral suspension,use1,Treatment of Bacterial infections
atmost 25mg tablet,use1,Treatment of Angina (heart-related chest pain)
asprito mt 15mg tablet,use1, Mania
allofex 180mg tablet,use1,Treatment of Allergic conditions
axtor 20mg tablet,use1,Prevention of Heart attack
abra 20mg tablet,use1,Treatment of Peptic ulcer disease
aldust m 5mg/10mg tablet,use1,Treatment of Hay fever
actilop 50mg tablet,use1,Treatment of Heart failure
adpanta 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
amstar 5mg tablet,use1,Prevention of Angina (heart-related chest pain)
alerlite m kid 2.5mg/4mg tablet,use1,Treatment of Hay fever
ac suspension,use1,Treatment of Resistance Tuberculosis (TB)
appetin syrup,use1, Appetite stimulant
amoxycare 125mg dry syrup,use1,Treatment of Bacterial infections
afexdine 180mg tablet,use1,Treatment of Allergic conditions
atorpac 20 tablet,use1,Prevention of Heart attack
axitan 2mg injection,use1,Treatment of Short term anxiety
acitreat-d tablet,use1,Treatment of Peptic ulcer disease
asinac p oral suspension,use1, Pain relief
alvotin 20mg tablet,use1,Prevention of Heart attack
alzopin 5mg tablet md,use1,Treatment of Mania
airovas 10 tablet,use1, Prevention of heart attack and stroke
azcort oral suspension,use1,Treatment of Inflammatory conditions
atosh 10mg tablet,use1,Prevention of Heart attack
aciright d 30mg/40mg capsule sr,use1,Treatment of Peptic ulcer disease
adben 100mg injection,use1, Blood cancer
ampant-d sr 30mg/40mg capsule,use1,Treatment of Peptic ulcer disease
anzal 0.5mg tablet sr,use1,Treatment of Panic disorder
augwin dry syrup,use1,Treatment of Bacterial infections
abamax 25mg tablet,use1, Neuropathic pain
asoprazole 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
acer 20mg capsule,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
atahist 10mg tablet,use1,Treatment of Skin conditions with inflammation & itching
aceto 650mg tablet,use1,Treatment of Fever
angitel 80mg tablet,use1, Prevention of heart attack and stroke
antrozin tablet,use1,Treatment of Peptic ulcer disease
apewin 4mg tablet,use1, Appetite stimulant
alipride 10mg tablet,use1, Constipation
abiflox tz 200mg/600mg tablet,use1, Dysentery
alercid m 5mg/10mg tablet,use1,Treatment of Hay fever
arowin-cv oral suspension,use1,Treatment of Bacterial infections
aret 0.025 gel,use1, Acute promyelocytic leukaemia
akcet-m tablet,use1,Treatment of Hay fever
acycloveer g 200mg tablet,use1, Chickenpox
abivela 500mg tablet,use1, Genital herpes infection
abisave m 200mg/10mg tablet sr,use1,Treatment of Sneezing and runny nose due to allergies
ambrocon 7.5mg oral drops,use1,Treatment of Acute Sore throat
amlocard-s 5 tablet,use1,Prevention of Angina (heart-related chest pain)
apzole 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
ascort 30mg tablet,use1,Treatment of Autoimmune conditions
alkaxor 1.4gm syrup,use1,Treatment of Kidney stone
ace plus oral suspension,use1, Pain relief
austomentin dry syrup,use1,Treatment of Bacterial infections
antav d oral suspension,use1, Stomach ulcers
atfour 20mg tablet,use1,Prevention of Heart attack
acesic p oral suspension,use1, Pain relief
aardom 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
aceflec oral suspension,use1, Pain relief
atorgift 40mg tablet,use1,Prevention of Heart attack
amoxystrong dry syrup,use1,Treatment of Bacterial infections
akmol 650 tablet,use1,Treatment of Fever
atorkem 20mg tablet,use1,Prevention of Heart attack
atipraz-d 10mg/40mg tablet,use1,Treatment of Peptic ulcer disease
arden 1000 tablet,use1,Treatment of Fever
alpradon 0.5mg tablet,use1,Treatment of Panic disorder
abingem 200mg injection,use1, Breast cancer
adival 500mg tablet er,use1,Treatment of Bipolar disorder
aripamat 5mg tablet,use1, Mania
amcid-os oral suspension,use1,Treatment of Heartburn
alemox cv dry syrup,use1,Treatment of Bacterial infections
alietop 40mg tablet,use1,Treatment of Gastroesophageal reflux disease (Acid reflux)
amtro cl dry syrup,use1,Treatment of Bacterial infections
alkadrix syrup sugar free,use1,Treatment of Kidney stone
acmox 125mg tablet,use1,Treatment of Bacterial infections
acera it 20 mg/150 mg tablet,use1, Peptic ulcer disease
acto pred 16mg tablet,use1,Treatment of Systemic lupus erythematosus (SLE)
atorica crc 80mg tablet,use1,Prevention of Heart attack
afserta cream,use1,Treatment of Fungal infections
aksiprol tablet,use1, Rheumatoid arthritis
alvergy m 5mg/10mg tablet,use1,Treatment of Hay fever
alkaster syrup,use1,Treatment of Kidney stone
apikast l 5mg/10mg tablet,use1,Treatment of Hay fever
arident 10mg tablet,use1, Mania
atorchek 10mg tablet,use1,Prevention of Heart attack
aripiz 15mg tablet,use1, Mania
abitor f 10mg/160mg tablet,use1,Prevention of Heart attack
